index,x,y,z,B_x,B_y,B_z
41,18.2,-167.25,-5.779999999999973,-0.262652,-0.446292,-2.2387200000000003
42,18.2,-167.25,34.22000000000003,-0.217002,-0.379684,-2.30076
43,18.2,-167.25,74.22000000000003,-0.148199,-0.32153400000000004,-2.34152
44,18.2,-167.25,114.22000000000003,-0.06692000000000001,-0.262694,-2.36464
45,18.2,-127.25,-45.78,-0.306532,-0.477314,-2.1034200000000003
46,18.2,-127.25,-5.779999999999973,-0.270784,-0.41913,-2.1844
47,18.2,-127.25,34.22000000000003,-0.212094,-0.36873,-2.24436
48,18.2,-127.25,74.22000000000003,-0.1383572,-0.316064,-2.2873
49,18.2,-127.25,114.22000000000003,-0.0550572,-0.263886,-2.31442
50,18.2,-87.25,-45.78,-0.321462,-0.44699,-2.0659400000000003
51,18.2,-87.25,-5.779999999999973,-0.262654,-0.406906,-2.14132
52,18.2,-87.25,34.22000000000003,-0.200934,-0.361876,-2.1976
53,18.2,-87.25,74.22000000000003,-0.1192252,-0.318986,-2.23938
54,18.2,-87.25,114.22000000000003,-0.0304828,-0.270892,-2.26784
55,18.2,-47.25,-45.78,-0.352112,-0.421692,-2.0392
56,18.2,-47.25,-5.779999999999973,-0.279222,-0.385776,-2.10518
57,18.2,-47.25,34.22000000000003,-0.203752,-0.344442,-2.15788
58,18.2,-47.25,74.22000000000003,-0.1163126,-0.308804,-2.1971
59,18.2,-47.25,114.22000000000003,-0.0204444,-0.26566,-2.22582
60,18.2,-7.25,-45.78,-0.392678,-0.411242,-2.01198
61,18.2,-7.25,-5.779999999999973,-0.299996,-0.369248,-2.07438
62,18.2,-7.25,34.22000000000003,-0.211252,-0.333706,-2.12196
63,18.2,-7.25,74.22000000000003,-0.106412,-0.297528,-2.15962
64,18.2,-7.25,114.22000000000003,-0.0106136,-0.255132,-2.18602
65,18.2,32.75,-45.78,-0.4385060000000001,-0.398534,-1.98996
66,18.2,32.75,-5.779999999999973,-0.334766,-0.362304,-2.04644
67,18.2,32.75,34.22000000000003,-0.23742,-0.32445,-2.091
68,18.2,32.75,74.22000000000003,-0.1274612,-0.288878,-2.12558
69,18.2,32.75,114.22000000000003,-0.0219436,-0.246878,-2.15006
70,38.2,32.75,-45.78,-0.413772,-0.413796,-1.94372
71,38.2,32.75,-5.779999999999973,-0.31697,-0.375022,-1.9956
72,38.2,32.75,34.22000000000003,-0.22893400000000005,-0.330034,-2.0383
73,38.2,32.75,74.22000000000003,-0.115323,-0.304254,-2.0718400000000003
74,38.2,32.75,114.22000000000003,-0.0197396,-0.25752800000000003,-2.0971
75,38.2,-7.25,-45.78,-0.362774,-0.441638,-1.97194
76,38.2,-7.25,-5.779999999999973,-0.278548,-0.390138,-2.03028
77,38.2,-7.25,34.22000000000003,-0.194014,-0.35232,-2.07552
78,38.2,-7.25,74.22000000000003,-0.098453,-0.312456,-2.11138
79,38.2,-7.25,114.22000000000003,-0.008497200000000002,-0.267764,-2.13788
80,38.2,-47.25,-45.78,-0.325146,-0.45227,-2.00546
81,38.2,-47.25,-5.779999999999973,-0.255696,-0.408118,-2.0672
82,38.2,-47.25,34.22000000000003,-0.181374,-0.355736,-2.1176
83,38.2,-47.25,74.22000000000003,-0.0950968,-0.317064,-2.1543
84,38.2,-47.25,114.22000000000003,-0.0105196,-0.269762,-2.18086
85,38.2,-87.25,-45.78,-0.292652,-0.461734,-2.04442
86,38.2,-87.25,-5.779999999999973,-0.241076,-0.408372,-2.1109
